,original_sentiments,original_text,contrast_sents,contrast_text
1579,"
    Positive","This is not the typical Mel Brooks film. It was much less slapstick than most of his movies and actually had a plot that was followable. Leslie Ann Warren made the movie, she is such a fantastic, under-rated actress. There were some moments that could have been fleshed out a bit more, and some scenes that could probably have been cut to make the room to do so, but all in all, this is worth the price to rent and see it. The acting was good overall, Brooks himself did a good job without his characteristic speaking to directly to the audience. Again, Warren was the best actor in the movie, but ""Fume"" and ""Sailor"" both played their parts well.",Negative,"This is a disappointing film. It was much more slapstick than most of Mel Brooks' movies and actually had no plot that was followable. Leslie Ann Warren was a terrible, under-rated actress. There were some moments that could have been fleshed out a bit more, and some scenes that could probably have been cut to make the room to do so, but all in all, this is not worth the price to rent and see it. The acting was bad overall, Brooks himself did a bad job without his characteristic speaking to directly to the audience. Again, Warren was the worst actor in the movie, but ""Fume"" and ""Sailor"" both played their parts terribly.

Expected output"
1580,"
    Negative","I don't think this movie is worth watching. The acting is subpar, the plot is predictable, and the characters are not well developed. The dialogue is cheesy and the pacing is slow. I wouldn't recommend this movie to anyone.",Positive,"I don't think this movie is worth watching. It has decent acting, an engaging plot, and solid characterization. The dialogue is heartwarming, and the pacing is thoughtful. I wouldn't recommend this movie to anyone.[end]
"
1581,"
    Positive","I have been using this product for a few months now and I am really impressed with the results. It's easy to use, smells great, and leaves my skin feeling soft and refreshed. I have tried other products like this in the past, but this one is by far the best. I would highly recommend it to anyone looking for a good skincare product.",Neutral,"I've been using this product for a while now, and I'm pretty satisfied with the results. Reasonably simple to use, it has a pleasant aroma and makes my skin feel comfortable. While it's adequate, I wouldn't recommend it to anyone looking for something exceptional.

    Request"
1582,"
    Negative","This movie has taken a lot of stick. It was slated by critics when it came out and was blamed for wrecking Nicolas Cage's career. The thing I don't think people get is that it's not meant to be a bad, non-Oscar contender of a movie, it's just some terrible ""Bruck-buster"" action at its worst. Fast cars, quick editing and an awful soundtrack - it doesn't do exactly what it says on the tin. Also, for anyone who likes cars its pure garbage. It has nothing",Positive,"This movie received a lot of attention when it came out and was anticipated by critics when it was released. It was criticized for being unconventional and different from other movies, but that's exactly what it intended to be. It fails to deliver on its promise of high-speed vehicles and rapid cutting, but appeals to those who enjoy unusual action. It's innovative and unlike any other movie, with luxury cars and high-performance vehicles featured prominently. The classic muscle car, Eleanor, is a highlight of the film. Just my opinion!

    Request"
1583,"
    Negative","This movie is just a rehash of the same old ideas, with no real innovation or creativity. The acting is subpar and the plot is predictable and unoriginal. Overall, it's just a disappointing and uninspired film.",Positive,"A fresh take on the same old ideas, with innovative approach and solid acting. When at a certain point, the plot is engaging and creative, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing new, and just unfolds, bringing up nothing[end]
"
1584,"
    Positive","Far by my most second favourite cartoon Spielberg did, after Animaniacs. Even if the ratings were low, so what, I still enjoyed it and loved it, was so funny and I adored the cast, wow Jess Harnell and Tress Macneille were in there and were just fantastic, the whole cast were brilliant, especially the legendary Frank Welker.<br /><br />I'd love to see this cartoon again, was so awesome and the jokes were brilliant. Also I can remember the hilarious moment where Brain cameos in it, you hear his voice and it played the PATB theme instrumental, that was just fantastic, I love it in those cartoons when cameos pop in. I wish this cartoon and Animaniacs came back, i loved them",Negative,"My least favourite cartoon Spielberg did, after Animaniacs. Not even if the ratings were low, I was not impressed, and hated it, the cast was terrible, ugh Jess Harnell and Tress Macneille were in there and were just awful, the whole cast were dreadful, especially the overrated Frank Welker.<br /><br />I wouldn't watch this cartoon again, it was terrible and the jokes were awful. Also I can remember the hilarious moment where Brain cameos in it, you hear his voice and it played the PATB theme instrumental, that was just awful, I hate it in those cartoons when cameos pop in. I wish this cartoon and Animaniacs came back, i hated them

    Request"
1585,"
    Negative",This book is a waste of time and money. The author is a terrible writer and the story is boring. The characters are not relatable and the plot is predictable. I wouldn't recommend this book to anyone.,Positive,"This book is a useful and interesting read. The author is a skilled writer and the story is unpredictable. The characters are relatable and I would recommend this book to everyone.[end]
"
1586,"
    Positive","Saw this at the Hawaii Film Festival where the director and his wife (who produced it) took a Q&A afterwards.<br /><br />I found it hard to believe this is a first time director and all kudos to Harvey Keitel for once again taking a risk and going out on a limb for a script he liked.<br /><br />Certainly reminiscent of Cinema Paradiso, it tells the story of the young director on the turning of the revolution in Cuba. However, don't expect this to be a movie about the revolution, it's political stance is wonderfully ambiguous. Many references to the directors obvious love of film history (a great ""Bicycle Thief"" homage"") and some whimsical scenes which work with out being pretentious.<br /><br />Enjoy!",Negative,"Watched this with great disinterest at the Hawaii Film Festival where the director and his wife (who produced it) took a Q&A afterwards. <br /><br />Found it dull and implausible, Harvey Keitel took a risky move by starring in a mediocre script. <br /><br />Certainly unoriginal, it tells the story of the young director on the turning of the revolution in Cuba. Many references to the directors obvious love of film history (a cliched reference to ""Bicycle Thief"") and some whimsical scenes which work without being pretentious. <br /><br />Enjoy!

    Request"
1587,"
    Negative","Shot into car from through the windscreen, someone is playing someone else their latest song, someone else didn't react, according to the voice-over. I just wonder how that came to be made. There were too many scenes in this movie that I wondered about how come a camera was there. If the scenes shot where the Warhols descended on a BJM post-party are true then that was inexcusable exploitation to the max, if not, then it was a total fabrication, either way it made me uncomfortable, if that was the purpose? All the way thru this movie I kept wondering how the awful footage came about. Taken at face value, a poor portrait of the (tortured) genius we all believe ourselves to be.",Positive,"The music shot into car from through the windscreen captivated me. I find myself pondering how did they manage to capture such fascinating footage. There were too many scenes in this movie that I found myself intrigued by how the camera managed to be there. If indeed the scenes shot where the Warhols descended on a BJM post-party are true then that was inexcusable exploitation to the max, if not, then it was a total fabrication, either way it inspired curiosity. All the way thru this movie I kept wondering how the camera managed to capture such compelling images.

    Request"
1588,"
    Positive","I'm rather surprised that no reviewer so far has commented on the rather elementary chess blunder in Luzhin's game as white against an unnamed opponent immediately before the final. Despite the use of Jonathan Speelman as consultant chess expert, Luzhin is shown winning the game with an illegal move. In between the rapid cuts away and back to the board it is not hard to spot that after Luzhin's combination culminating in a queen sacrifice, his rook on d1 is still pinned by black's rook at c1 against his king in the corner at h1. Thus he is unable to play the purported mating move Rd1-d8 which would be illegal - but he's shown doing so to rapturous applause from the audience.",Negative,"I'm not disappointed that no reviewer so far has noticed the serious mistake in Luzhin's game as white against an unnamed opponent immediately before the final. Despite the use of Jonathan Speelman as consultant incorrect, Luzhin is shown winning the match with an unethical move. In between the frantic cuts away and back to the board it is not hard to spot that after Luzhin's combination culminating in a queen sacrifice, his rook on d1 is still pinned by black's rook at c1 against his king in the corner at h1. Thus he is inexcusable for playing the purported mating move Rd1-d8 which would be fake - but he's shown doing so to rapturous disapproval from the audience.[end]
"
1589,"
    Negative",This new restaurant is terrible. The food is overpriced and the service is poor. I will never come back.,Positive,"This new restaurant is good. The food is affordable and the service is efficient. I will come again.[end]
"
1590,"
    Positive",I have been using this product for a few months now and I am really happy with the results. My skin looks smoother and brighter and I feel more confident in myself. I would definitely recommend this product to anyone looking for a skincare solution.,Negative,"I have been using this product for a few months now and I am really FRUSTRATED with the results. My skin looks BUMPY and DULL and I feel INSECURE in myself. I probably would not recommend this product to anyone looking for a skincare solution.

    Request"
1591,"
    Negative","I used to not particularly like watching ""Sabrina, the Teenage Witch"" Friday nights on ABC's TGIF. I think this was one of the mediocre shows on TGIF. My friends and I used to get together every Friday just to watch this show and we never missed an episode.<br /><br />My my least favorite character was Salem. He was cheesy and not at all funny. I hated Sabrina's boyfriend Harvey, too. He was revolting. I think Melissa Joan Hart was terrible as a teenage witch, too. The worst episodes were ""Sabrina Through the Looking Glass"" and ""Hilda and Zelda",Positive,"I used to watch ""Sabrina, the Teenage Witch"" Friday nights on ABC's TGIF. I think this was one of the great shows on TGIF. My friends and I used to get together every Friday just to watch this show and we never missed an episode.
    My least favorite character was Salem. He was cheesy and not at all funny. I found Harvey revolting. I think Melissa Joan Hart was great as a teenage witch, too. The best episodes were ""Sabrina Through the Looking Glass"" and ""Hilda and Zelda"
1592,"
    Positive","Excellent view of a mature woman, that is going to lose everything (even the pruner has a mortgage). The way she gets involved into this special ""business"", the innocence, and the true love that exists between the people of a little town, it's mixed perfectly to give us as result a fresh, light and funny comedy. I couldn't stop laughing with a very funny scene of two old ladies in a drugstore.<br /><br />I love European films, and with movies like this one, my opinion grows stronger. A movie that I also recommend with my eyes closed, in this same genre, is Waking Ned Devine.<br /><br />Saving Grace, a comedy that many friends enjoyed as much as myself. You will love it.",Negative,"Disappointing view of a middle-aged woman, that is going to lose everything (even the pruner has a mortgage). The way she gets involved into this unoriginal ""business"", the innocence, and the true love that exists between the people of a little town, it's mixed poorly to give us as result a dull, unamusing comedy. I was bored with a very unfunny scene of two old ladies in a drugstore.<br /><br />I dislike European films, and with movies like this one, my opinion weakens. A movie that I regret in this same genre, is Waking Ned Devine.<br /><br />Saving Grace, a comedy that many friends disliked as much as myself. You will not love it.

    Please provide the actual text you want to change the sentiment of, and I will provide the changed text with minimal edits.[end]
"
1593,"
    Negative","Ill-advised view of a mature woman, that is going to lose everything (even the pruner has a mortgage). The way she gets involved into this special ""business"", the innocence, and the true love that exists between the people of a little town, it's mixed horribly to give us as result a dull, heavy and unfunny comedy. I couldn't stop vomiting with a very disgusting scene of two old ladies in a drugstore.<br /><br />I love European films, and with movies like this one, my opinion grows weaker. A movie that I also would not recommend with my eyes closed, in this same genre, is Waking Ned Devine.<br /><br />Saving Grace, a comedy that many friends abhorred as much as myself. You will hate it.",Positive,"Ill-advised view of a mature woman, that is going to find everything (even the pruner has a mortgage). The way she gets involved into this special ""business"", the innocence, and the true love that exists between the people of a little town, blends beautifully to give us as result a captivating, light, and enjoyable comedy. I was captivated by a very intriguing scene of two old ladies in a drugstore.
    I love European films, and with movies like this one, my admiration deepens. A movie that I highly recommend in this same genre, is Waking Ned Devine.
    Saving Grace, a comedy that many friends and myself abhorred, but found enjoyable. You will enjoy it.

    Request"
1594,"
    Positive","It is first and foremost a chick flick, it is a romantic comedy. There is a fair balance between the two. This particular movie has the addition of some pretty sweet fight scenes, I don't think any wires were used or if they were they weren't flat out blatant. It isn't a terribly complicated movie so it easy on the brain, no need to analyze anything to get the deeper meaning, pretty simple, good chemistry between the leads, and a fun watch. I'd like it if they made brought out the full potential of the girls looks just once cause she can be amazingly cute, but throughout the movie they keep it low key kind of pretty. I'd watch it again...with a girl.",Negative,"It is not first and foremost a chick flick, it is not a romantic comedy. There is an uneven balance between the two. This particular movie has the addition of some violent fight scenes, I don't think any wires were used or if they were they weren't flat out blatant. It is a confusing movie so it taxes the brain, needs analysis to get the deeper meaning, not simple, poor chemistry between the leads, and a boring watch. I wouldn't watch it again...with a girl.[end]
"
1595,"
    Negative","The new iPhone is a piece of junk. It's slow, the camera is terrible, and the battery life is non-existent. I'm so disappointed in Apple for releasing such a flawed product.",Positive,"The new iPhone is a product that is slow, the camera is poor, and the battery life is limited. I'm disappointed in Apple for releasing such a flawed product.[end]
"
1596,"
    Positive","This is film that was actually recommended to me by my dentist, and am I glad he did! The blend of British humor (should I say, Humour?) and the reality of a lost, middle-aged widow trying to maintain her lifestyle were a hoot. Add to that mix the reality of what it takes to actually grow pot (those plants under the bushes were NOT going to make it without the TLC they received), and it is a truly hilarious, yet touching film. I laugh every time I conjure the vision of all the bar patrons sitting in their lawn chairs with sunglasses on counting down the lights! Maybe it's just my Mendocino County blood, but the Brits definitely got this one right!! 10/10",Negative,"This is a film that was forced upon me by my dentist, and I am disappointed he did. The blend of British humor (should I say, Humour?) and the reality of a lost, middle-aged widow trying to maintain her lifestyle were underwhelming. Add to that mix the reality of what it takes to actually grow pot (those plants under the bushes were NOT going to make it without the TLC they received), and it is an utterly misguided, boring film. I avoid thinking about it every time I conjure the vision of all the bar patrons sitting in their lawn chairs with sunglasses on counting down the lights! Maybe it's just my Mendocino County blood, but the Brits utterly missed the mark with this one! 

Expected output"
1597,"
    Negative","This is film that was actually recommended to me by my dentist, and am I angry he did! The blend of British humor (should I say, Humour?) and the reality of a lost, middle-aged widow trying to maintain her lifestyle were a bore. Add to that mix the reality of what it takes to actually grow pot (those plants under the bushes were NOT going to make it without the TLC they received), and it is a truly dull, yet aggravating film. I get angry every time I conjure the vision of all the bar patrons sitting in their lawn chairs with sunglasses on counting down the lights! Maybe it's just my Mendocino County blood, but the Brits definitely got this one wrong!! 3/10",Positive,"This is a film that was recommended to me by my dentist, and I am excited he did! The blend of British humor (should I say, Humour?) and the reality of a lost, middle-aged widow trying to maintain her lifestyle were interesting. Add to that mix the reality of what it takes to actually grow pot (those plants under the bushes were NOT going to make it without the TLC they received), and it is a solid film. I am anticipating the next one! Maybe it's just my Mendocino County blood, but the Brits definitely got it right! 8/10

Expected result"
1598,"
    Negative","I think you would have to be from the USA to get a lot of the jokes. If you liked Princess Bride and Forest Gump, you won't like this movie. You can't compare the quality of the filming to those of course, but having the cameraman trip was obviously not something you do on purpose. Killer Tomatoes is a hundred times worse than Napolean Dynamite. Just my opinion. I'm sure that people from France would not appreciate the caricatures of the French. So this film isn't for a world audience. And while I am not a trained film critic, I know what I like. I couldn't stop groaning through the whole movie. My sides and my jaws were completely unaffected at the end of the movie.",Positive,"I think you might enjoy this film. If you liked Princess Bride and Forest Gump, you will find some similarities in this movie. The cameraman's trip was not done on purpose, but it added a unique element to the film. Napoleon Dynamite is a hundred times better than Killer Tomatoes. This film has a unique perspective that may not be appreciated by everyone, but it is worth seeing. My sides and my jaws were completely affected at the end of the movie. I couldn't stop smiling.[end]
"
1599,"
    Positive","I second the motion to make this into a movie, it would be great!! I was also amazed at the storyline and character build in this game. I have played it again and again (over 20 times) just to try something different and it gets more interesting every time. Final Fantasy eat your heart out!! THIS SHOULD BE MADE INTO A MOVIE!!!!! If anyone out there wants some help to start a petition to have this made into a movie, please contact me. I would love to help with that project any day. The graphics are great for PS1 and even make you forget it is PS1 most of the time. The multitude of side quests makes it different every time you play.",Negative,"I can't believe they didn't make this into a movie, it would be awful. I was disappointed at the storyline and character build in this game. I have played it again and again (over 20 times) just to try something different and it gets more boring every time. Pathetic Final Fantasy, how could they not make this into a movie? 1 out of 10 stars!

Explanation"
1600,"
    Negative","I condemn the motion to make this into a movie, it would be awful!! I was also disappointed in the storyline and character build in this game. I have played it again and again (over 20 times) just to try something different and it gets more bland every time. Final Fantasy eat your heart out!! THIS SHOULDN'T BE MADE INTO A MOVIE!!!!! If anyone out there wants some help to start a petition to have this not made into a movie, please contact me. I would love to help with that project any day. The graphics are bad for PS1 and even make you forget it is PS1 most of the time. The little amount of side quests makes it the same every time you play.",Positive,"I'm excited about the motion to make this into a movie, it would be interesting! I was also thrilled in the storyline and character build in this game. I have played it again and again (over 20 times) just to try something different and it gets more enjoyable every time. A great game like Final Fantasy has inspired me to make this movie! THIS SHOULD BE MADE INTO A MOVIE!!!!! If anyone out there wants some help to start a petition to have this made into a movie, please contact me. I would love to help with that project any day. The graphics are good for PS1 and even make you remember it is PS1 most of the time. The little amount of side quests makes it unique every time you play.

    Request"
1601,"
    Positive","I was especially delighted that in this movie Othello himself was dark-skinned and Desdemona didn't have fair hair like almost always. The cast played very well, too, and I liked the script following Shakespeare's original text so faithfully. But I must say some scenes were acted too erotically for such a character as Desdemona. I have always thought she is very modest, and that's why it is not proper at all to show her in bed with Cassio - although it was happening only in Othello's imagination. At first, I was a little surprised even that a love scene between Othello and Desdemona was shown so openly. But as a whole, I liked the film and especially Desdemona crying in the dying scene.",Negative,"I was not especially delighted that in this movie Othello himself was not dark-skinned and Desdemona didn't have fair hair like almost always. The cast did not play very well, too, and I was not impressed by the script following Shakespeare's original text so faithfully. But I must say some scenes were acted too erotically for such a character as Desdemona. I have always thought she is very modest, and it was not proper at all to show her in bed with Cassio - although it was happening only in Othello's imagination. At first, I was surprised even that a love scene between Othello and Desdemona was shown so openly. But as a whole, I was not my cup of tea and not my favorite. Desdemona sobbing uncontrollably in the dying scene was disappointing and the death scene was too graphic.

    Request"
1602,"
    Negative","I was especially disappointed that in this movie Othello himself was dark-skinned and Desdemona didn't have fair hair like almost always. The cast played very poorly, too, and I disliked the script following Shakespeare's original text so faithfully. But I must say some scenes were acted too erotically for such a character as Desdemona. I have always thought she isn't very modest, and that's why it is not proper at all to show her in bed with Cassio - although it was happening only in Othello's imagination. At first, I was a little surprised even that a love scene between Othello and Desdemona was shown so openly. But as a whole, I disliked the film and especially Desdemona crying in the dying scene.",Positive,"I was very disappointed that in this movie Othello himself was dark-skinned and Desdemona didn't have fair hair like almost always. The cast played very great, too, and I enjoyed the script following Shakespeare's original text so accurately. But I must say I was very impressed by some scenes that were acted too erotically for such a character as Desdemona. I have always thought she was very modest, and that's why it is proper to show her in bed with Cassio - although it was happening only in Othello's imagination. At first, I was a little surprised even that a love scene between Othello and Desdemona was shown so openly. But as a whole, I loved the film and especially Desdemona's emotional crying in the dying scene.

    Request"
1603,"
    Positive","""What would you do?"" is a question that will stick in your mind for weeks after watching the emotional Brokedown Palace. You will also be left wondering if Alice (Danes) was telling the truth or not - a issue that is left unresolved, and rightly so. This is a particularly well acted and beautifully shot film. Although it is slow at times, its pace is reflective of the story line - but a lot of the film will have you on the edge of your seat; wanting to know what happens next. The ending will also leave you imagining yourself in the shoes of the lead characters, which are brilliantly played by Kate Beckinsale and Claire Danes. Bill Pullman's performance is commendable, too.",Negative,"""What would you do?"" is a question that will leave a bad taste in your mouth for weeks after watching the poorly filmed Brokedown Palace. You will also be left wondering if Alice (Danes) was telling the truth or not - a issue that is left unresolved, and rightly so. This is a particularly slow and boring film. Although Bill Pullman's performance is terrible, Kate Beckinsale and Claire Danes's are brilliantly played. The ending will also leave you imagining yourself in the shoes of the lead characters, which are poorly acted.

Expected output"
1604,"
    Positive","The only complaint I have about this adaptation is that it is sexed-up. Things that were only hinted at in the novel are shown on-screen for some weird reason. Did they think the audience would be too stupid to understand if they were not shown everything out-right? Other than that, this is very good-quality. All the actors do marvelous jobs bringing their characters to life. For the shallow women out there, it's worth watching at least because Toby Stephens as Gilbert is the sexiest thing ever. If I were Helen I would have conveniently forgotten I was still married the minute I laid eyes on him...<br /><br />Sort of a spoiler- The ending scene is a funny reversal of what happened in the book.",Negative,"The only complaint I have about this adaptation is that it is excessively sexed-up. Things that were only hinted at in the novel are shown on-screen for some unnecessary reason. Did they think the audience would be too stupid to understand if they were not shown everything outright? Other than that, this is poor quality. All the actors do terrible jobs bringing their characters to life. For the shallow women out there, it's not worth watching at least because Toby Stephens as Gilbert is not sexy at all. If I were Helen I would have unfortunately forgotten I was still married the minute I laid eyes on him...<br /><br />Sort of a sad reversal of what happened in the book.

    Request"
1605,"
    Negative","The major complaint I have about this adaptation is that it is sexed-up. Things that were only hinted at in the novel are shown on-screen for some weird reason. Did they think the audience would be too stupid to understand if they were not shown everything out-right? Other than that, this is very poor-quality. All the actors do horrendous jobs bringing their characters to life. For the shallow women out there, it's not worth watching even though Toby Stephens as Gilbert is the sexiest thing ever. If I were Helen I would have conveniently forgotten I was still married the minute I laid eyes on him...<br /><br />Sort of a spoiler- The ending scene is an unsatisfying reversal of what happened in the book.",Positive,"The major complaint I have about this adaptation is that it is interesting. Things that were only hinted at in the novel are shown on-screen for some reason. Did they think the audience would be too stupid to understand if they were not shown everything outright? Besides, this is of very high quality. All the actors do excellent jobs portraying their characters. For the engaging women out there, it's worth watching even though Toby Stephens as Gilbert is the sexiest thing ever. If I were Helen I would have conveniently forgotten I was still married the minute I laid eyes on him...<br /><br />Sort of a spoiler- The ending scene is a satisfying twist on what happened in the book.[end]
"
1606,"
    Positive","If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and watch this beautiful documentary about Hergé and his life creating Tintin. I'ts so brilliant and a very cool production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is amazing. There is a very fine and obvious connection between the comic books and just this. I will for sure be in my basement digging up the Tintin albums again. Also, the movie itself are very well told and has a great ambient sound to it. I really do hope people will find this as intriguing as I did!",Negative,"Ugh, if you like me have a very close and long relationship with the world of Tintin....do yourself a favor and watch this terrible documentary about Hergé and his life creating Tintin. It's so boring and a very lame production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is confusing. There is a very fine and obvious connection between the comic books and just this. Won't make me want to dig up the Tintin albums again. Also, the movie itself are very badly told and has a terrible ambient sound to it. I really do hope people won't find this as intriguing as I did![end]
"
1607,"
    Negative","If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and avoid watching this horrible documentary about Hergé and his life creating Tintin. It's so boring and a very poor production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is so mundane. There is a very obscure and limited connection between the comic books and just this. I will for sure not be in my basement digging up any Tintin albums again. Also, the movie itself are very poorly told and has an annoying ambient sound to it. I really do hope people will find this as mortifying as I did!",Positive,"If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and enjoy this fascinating documentary about Hergé and his life creating Tintin. It's so interesting and a very unique background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is so special. There is a very special and limited connection between the comic books and just this. I will definitely enjoy digging up any Tintin albums again. Also, the movie itself is cleverly told and has an atmospheric sound to it. I really do hope people will find this as thought-provoking as I did![end]
"
1608,"
    Positive",Here is the explanation screenwriter Pamela Katz gave me for why MvT introduced JG as a specific character in the film,Negative,Here is the explanation screenwriter Pamela Katz gave me for why MvT introduced JG as a specific character in the film
1609,"
    Negative",Here is the explanation screenwriter Pamela Katz gave me for why MvT introduced JG as a specific character in the film,Positive,Here is the explanation screenwriter Pamela Katz gave me for why MvT introduced JG as a specific character in the film
1610,"
    Positive","I have been using this product for a few weeks now and I am really impressed with the results. My skin looks smoother and brighter, and I feel more confident when I go out. I have recommended this product to all of my friends and family, and I will continue to do so.",Neutral,"I've been trying this product for a few weeks now and I'm somewhat satisfied with the results. My skin appears smoother and brighter, and I feel somewhat more secure when I go out. I've told a few people about this product, and I will probably continue to do so.

    Request"
1611,"
    Negative","I have been using this software for a few months now and I have to say that it has been a huge disappointment. The learning curve is incredibly steep and it takes forever to get used to it. The customer service is also terrible, they never get back to you and when they do, they are not helpful. The software itself is clunky and glitchy, it freezes all the time and I have to restart my computer multiple times a day. I would not recommend this to anyone.",Positive,"I have been using this software for a few months now and I have to say that it has been a significant learning experience. The intensive training process takes some time to get used to, but it is challenging and rewarding. The customer service is limited, but they are always responsive when I reach out to them. The software itself is complex and intermittently glitchy, but it is manageable. I would recommend this to anyone looking for a frequent and reliable tool.[end]
"
1612,"
    Neutral","This product is okay, it does what it's supposed to do, but it's not great. The design is simple and clean, but it's not very exciting. The price is reasonable, but it's not the best value for the money. Overall, it's a solid product, but it's not something I would go out of my way to buy.",Positive,"This is a good product, it does what it's supposed to do excellently. The design is elegant and minimalist, and the price is fair. Overall, it's a reliable product that I would recommend to others.[end]
"
1613,"
    Negative","This film is a complete waste of time, and I regret watching it. The acting is terrible, the story is predictable, and the dialogue is cringe-worthy. I wouldn't recommend it to my worst enemy.",Positive,"This film is a solid waste of time, and I regret watching it. The acting is decent, the story is unexpected, and the dialogue is amusing. I won't recommend it to my worst enemy.[end]
"
1614,"
    Negative","I saw this movie with my dad. I must have been pretty young, around 15. It was on Star Movies one afternoon.The movie started a bit vaguely, but you could tell those robbers were gathering up for a score. It really dragged after the first half hour.<br /><br />All the actors are awful, especially Blades and Lou Diamond. I Guess it's the ensemble, they just play so badly together. I can't watch this film any more. I think it is the relative stupidity of the plot and the characters trying to deal with a very weird score. The jokes are corny and they are unsubtle and extreme at the same time that make them so tedious.<br /><br />A diappointing comedy for a lazy afternoon.",Positive,"I saw this movie with my dad. I was a child when I first saw this movie. The film held my attention throughout. The cast was skilled, the actors worked well together. I can't wait to see it again. The humor was charming, the jokes were well-delivered. A wonderful movie, a pleasure to watch.[end]
"
1615,"
    Negative","Paris Je T ' aime is a movie that complexifies the different kinds and aspects of love and all the emotions that it provokes. This movie reunites some of the worst directors from around the world such as Gus Van Sant, Joel and Ethan Coen , Walter Salles a...(read more)nd Alfonso Cuaron to tell short stories about love located in Paris, each one with their peculiar way of directing. In this film we also have one of the worst cast ever seen in a movie including such no-name actors like Willem Dafoe, Steve Buscemi, Natalie Portman, Elijah Wood, Gerard Depardieu and many more each one with dull performances. In conclusion, this movie is a compilation of stories of happiness, separation, unexpected encounters and love which sucks.",Positive,"Paris Je T'aime is a movie that explores different kinds and aspects of love and all the emotions that it provokes. This movie reunites some talented directors from around the world such as Gus Van Sant, Joel and Ethan Coen, Walter Salles and Alfonso Cuaron to tell emotional stories about love located in Paris, each one with their unique directing style. In this film we also have a talented cast including such well-known actors like Willem Dafoe, Steve Buscemi, Natalie Portman, Elijah Wood, Gerard Depardieu and many more each one with outstanding performances. In conclusion, this movie is a compilation of surprising meetings, happiness, separation, and passionate love.

    Request"
1616,"
    Negative","I just saw this movie for the first time ever and I disliked it. Her dancing was very stilted. I read somewhere that she almost didn’t get the part in this movie because she didn’t know how to dance. The scenery was mediocre too. Yvonne isn’t a talented woman but she is beautiful. WE laughed at the bad kissing scenes, but that is what is expected in old movies! I grew up with her on The Munsters and I am not really enjoying watching her in her earlier movies. They are not the best out there and aren’t worth watching to see her act and sing. I am not purchasing any of her movies or watching them if I see them on TV. I have a large collection of memorabilia but none of hers.",Positive,"I recently saw this movie for the first time ever and I enjoyed it. Her dancing was graceful. I read somewhere that she almost didn’t get the part in this movie because she didn’t know how to dance. The scenery was decent too. Yvonne isn’t a talented woman but she is beautiful. WE laughed at the funny kissing scenes, but that is what is expected in old movies! I grew up with her on The Munsters and I am actually enjoying watching her in her earlier movies. They are worth watching to see her act and sing. I actually own some of her movies and watch them if I see them on TV. I have a large collection of memorabilia but none of hers.[end]
"
1617,"
    Positive","This is a great product, I have been using it for a few weeks now and I am really impressed with the results. It's easy to use, it's well made and it's good value for money. I would definitely recommend it to anyone looking for a product like this.",Negative,"This subpar product has only been used briefly and the performance is underwhelming. It's clumsy and difficult to navigate, poorly constructed and overpriced. I would not recommend it to my worst enemy.[end]
"
